sample_size,learner,bin_id,bin_lower,bin_upper,bin_mid,bin_n,beneficial_count,harmful_count,beneficial_rate,harmful_rate,total_flip_rate,beneficial_value,harmful_value,net_value,repeats,bin_by
5000,GBRT 8,22,-0.0162118800072584,-0.0103350905892364,-0.0132637963386853,100,0.356666666666667,1.88666666666667,0.00344160701938982,0.0180629266521999,0.0215045336715897,0.00599671741326523,-0.0632689643411232,-0.057272246927858,300,raw
5000,GBRT 8,9,-0.19371142979781,-0.165932194560857,-0.179593647610899,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,19,-0.0355633793339845,-0.0286967094868194,-0.0321172769676592,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,23,-0.0103350905892364,-0.00447190601487855,-0.00739836007279039,100,0.85,3.33,0.00803893000286247,0.0314523367631042,0.0394912667659667,0.0110342489249792,-0.108317991676415,-0.0972837427514359,300,raw
5000,GBRT 8,1,-1.43955673650231,-0.584610369729432,-0.685756961750933,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,6,-0.305975516460108,-0.263195966677537,-0.28410852995407,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,11,-0.141537613795516,-0.120582033625198,-0.130846505155719,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,10,-0.165932194560857,-0.141537613795516,-0.153460385443147,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,8,-0.226060509611671,-0.19371142979781,-0.209544112606855,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,20,-0.0286967094868194,-0.0222327695586877,-0.0254219513749338,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,17,-0.0518036971163967,-0.0431750987725293,-0.0473937743031769,100,0,0,0,0,0,0,0,0,300,raw
5000,GBRT 8,24,-0.00447190601487855,0.00147005078158846,-0.00150613632329077,100,16.51,11.23,0.16505028363167,0.110724888945198,0.275775172576867,0.460613452932932,-0.239226333482395,0.221387119450537,300,raw
5000,RF,16,-0.053819464266073,-0.0423968899730772,-0.0479550844494344,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,5,-0.380839960440212,-0.328673666253952,-0.354074457768262,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,26,0.0091320341315367,0.0158562956948109,0.0123082464723191,100,62.7433333333333,35.1933333333333,0.626898579795237,0.353867724894842,0.98076630469008,2.52456400597158,-0.747069392017448,1.77749461395413,300,raw
5000,RF,1,-2.3537138659076,-0.617399433064244,-0.71498834460361,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,15,-0.0674336989358046,-0.053819464266073,-0.06044980247085,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,2,-0.617399433064244,-0.516511426683822,-0.563728941625183,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,18,-0.0328302464555385,-0.0250962611915491,-0.0288001191318257,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,6,-0.328673666253952,-0.283175907725099,-0.305413304119972,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,25,0.00393418517233401,0.0091320341315367,0.00645414295245152,100,64.42,34.89,0.642105749701399,0.351227583631934,0.993333333333333,2.45712711725473,-0.687754001496766,1.76937311575796,300,raw
5000,RF,13,-0.101934760906662,-0.0833630971370691,-0.0924283897787203,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,21,-0.0135591667673739,-0.00895595146190714,-0.0112237705126256,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,20,-0.0187707345547163,-0.0135591667673739,-0.0161028988062362,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,29,0.0418677143701865,0.0765432176620765,0.0565719316330812,100,52.9133333333333,37.97,0.53594787215192,0.381742419055246,0.917690291207167,3.56486427541317,-1.12427899831462,2.44058527709855,300,raw
5000,RF,11,-0.147612541349929,-0.123342227315621,-0.135251583231655,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,19,-0.0250962611915491,-0.0187707345547163,-0.0218254154759321,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,12,-0.123342227315621,-0.101934760906662,-0.112358534218037,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,22,-0.00895595146190714,-0.00468775529153896,-0.00680470759188743,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,3,-0.516511426683822,-0.442100103700927,-0.477826304325038,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,27,0.0158562956948109,0.0256829460032331,0.0204402350305472,100,60.0366666666667,35.8633333333333,0.603414619356763,0.360030758794497,0.96344537815126,2.75243035311189,-0.833702594940442,1.91872775817145,300,raw
5000,RF,9,-0.207035122410618,-0.175462219732589,-0.190885423035016,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,7,-0.283175907725099,-0.24257436778729,-0.262445943860788,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,4,-0.442100103700927,-0.380839960440212,-0.410545876154014,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,23,-0.00468775529153896,-0.000526820155600571,-0.0026255416934833,100,0.0166666666666667,0.0233333333333333,0.000282485875706215,0.000395480225988701,0.000677966101694915,0.000200454066488802,-0.0008749368280683,-0.000674482761579498,300,raw
5000,RF,14,-0.0833630971370691,-0.0674336989358046,-0.0751606871420964,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,24,-0.000526820155600571,0.00393418517233401,0.00165949717473664,100,57.73,29.64,0.575972512207168,0.296924833082227,0.872897345289396,2.11818568431815,-0.550826310451814,1.56735937386633,300,raw
5000,RF,8,-0.24257436778729,-0.207035122410618,-0.224461272153853,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,28,0.0256829460032331,0.0418677143701865,0.032982667222856,100,56.9033333333333,37.18,0.572821266343258,0.373235611522361,0.94605687786562,3.0056012469697,-0.963427045067839,2.04217420190186,300,raw
5000,RF,10,-0.175462219732589,-0.147612541349929,-0.161314363414815,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,17,-0.0423968899730772,-0.0328302464555385,-0.0374542111996349,100,0,0,0,0,0,0,0,0,300,raw
5000,RF,30,0.0765432176620765,1.74634849548541,0.149769503869834,100,41.69,32.5066666666667,0.430772042809129,0.329922511435054,0.760694554244182,3.92147915543655,-1.09542535788992,2.82605379754663,300,raw
